All hps: 2021-01-16 21:37:39 model=wrn-28-10-drop dataset=cifar10 attack=square_linf n_ex=10000 eps=16 p=0.06 n_iter=10000
finish load victim model
Clean accuracy: 95.97%
1: acc=63.69% acc_corr=66.36% avg#q_ae=1.07 med#q=1.0, avg_margin=2.64 (n_ex=9597, eps=0.063, 4.73s)
49: acc=22.08% acc_corr=23.01% avg#q_ae=10.94 med#q=5.0, avg_margin=-1.12 (n_ex=9597, eps=0.063, 133.78s)
50: acc=21.67% acc_corr=22.58% avg#q_ae=11.16 med#q=5.0, avg_margin=-1.15 (n_ex=9597, eps=0.063, 135.44s)
51: acc=21.38% acc_corr=22.28% avg#q_ae=11.32 med#q=5.0, avg_margin=-1.17 (n_ex=9597, eps=0.063, 137.07s)
52: acc=21.12% acc_corr=22.01% avg#q_ae=11.46 med#q=5.0, avg_margin=-1.18 (n_ex=9597, eps=0.063, 138.68s)
53: acc=20.75% acc_corr=21.62% avg#q_ae=11.67 med#q=5.0, avg_margin=-1.21 (n_ex=9597, eps=0.063, 140.27s)
54: acc=20.44% acc_corr=21.30% avg#q_ae=11.85 med#q=5.0, avg_margin=-1.23 (n_ex=9597, eps=0.063, 141.83s)
55: acc=20.12% acc_corr=20.96% avg#q_ae=12.03 med#q=5.0, avg_margin=-1.24 (n_ex=9597, eps=0.063, 143.37s)
56: acc=19.88% acc_corr=20.71% avg#q_ae=12.18 med#q=5.0, avg_margin=-1.26 (n_ex=9597, eps=0.063, 144.89s)
57: acc=19.64% acc_corr=20.46% avg#q_ae=12.32 med#q=5.0, avg_margin=-1.28 (n_ex=9597, eps=0.063, 146.39s)
58: acc=19.43% acc_corr=20.25% avg#q_ae=12.45 med#q=5.0, avg_margin=-1.29 (n_ex=9597, eps=0.063, 147.88s)
59: acc=19.21% acc_corr=20.02% avg#q_ae=12.58 med#q=5.0, avg_margin=-1.31 (n_ex=9597, eps=0.063, 149.37s)
60: acc=18.91% acc_corr=19.70% avg#q_ae=12.77 med#q=5.0, avg_margin=-1.33 (n_ex=9597, eps=0.063, 150.81s)
61: acc=18.63% acc_corr=19.41% avg#q_ae=12.95 med#q=5.0, avg_margin=-1.35 (n_ex=9597, eps=0.063, 152.23s)
62: acc=18.31% acc_corr=19.08% avg#q_ae=13.16 med#q=6.0, avg_margin=-1.36 (n_ex=9597, eps=0.063, 153.63s)
63: acc=18.09% acc_corr=18.85% avg#q_ae=13.30 med#q=6.0, avg_margin=-1.37 (n_ex=9597, eps=0.063, 155.01s)
64: acc=17.94% acc_corr=18.69% avg#q_ae=13.40 med#q=6.0, avg_margin=-1.39 (n_ex=9597, eps=0.063, 156.38s)
65: acc=17.60% acc_corr=18.34% avg#q_ae=13.63 med#q=6.0, avg_margin=-1.40 (n_ex=9597, eps=0.063, 157.71s)
66: acc=17.45% acc_corr=18.18% avg#q_ae=13.73 med#q=6.0, avg_margin=-1.41 (n_ex=9597, eps=0.063, 159.03s)
67: acc=17.20% acc_corr=17.92% avg#q_ae=13.90 med#q=6.0, avg_margin=-1.43 (n_ex=9597, eps=0.063, 160.35s)
68: acc=17.03% acc_corr=17.75% avg#q_ae=14.02 med#q=6.0, avg_margin=-1.44 (n_ex=9597, eps=0.063, 161.65s)
69: acc=16.81% acc_corr=17.52% avg#q_ae=14.18 med#q=6.0, avg_margin=-1.45 (n_ex=9597, eps=0.063, 162.93s)
70: acc=16.61% acc_corr=17.31% avg#q_ae=14.32 med#q=6.0, avg_margin=-1.46 (n_ex=9597, eps=0.063, 164.20s)
71: acc=16.45% acc_corr=17.14% avg#q_ae=14.44 med#q=6.0, avg_margin=-1.47 (n_ex=9597, eps=0.063, 165.44s)
72: acc=16.15% acc_corr=16.83% avg#q_ae=14.66 med#q=6.0, avg_margin=-1.48 (n_ex=9597, eps=0.063, 166.68s)
73: acc=15.99% acc_corr=16.66% avg#q_ae=14.78 med#q=6.0, avg_margin=-1.49 (n_ex=9597, eps=0.063, 167.95s)
74: acc=15.81% acc_corr=16.47% avg#q_ae=14.91 med#q=6.0, avg_margin=-1.50 (n_ex=9597, eps=0.063, 169.15s)
75: acc=15.58% acc_corr=16.23% avg#q_ae=15.09 med#q=6.0, avg_margin=-1.51 (n_ex=9597, eps=0.063, 170.34s)
76: acc=15.38% acc_corr=16.03% avg#q_ae=15.24 med#q=6.0, avg_margin=-1.53 (n_ex=9597, eps=0.063, 171.53s)
77: acc=15.26% acc_corr=15.90% avg#q_ae=15.33 med#q=6.0, avg_margin=-1.53 (n_ex=9597, eps=0.063, 172.69s)
78: acc=15.09% acc_corr=15.72% avg#q_ae=15.47 med#q=6.0, avg_margin=-1.54 (n_ex=9597, eps=0.063, 173.85s)
79: acc=14.93% acc_corr=15.56% avg#q_ae=15.59 med#q=6.0, avg_margin=-1.55 (n_ex=9597, eps=0.063, 174.98s)
80: acc=14.80% acc_corr=15.42% avg#q_ae=15.70 med#q=6.0, avg_margin=-1.56 (n_ex=9597, eps=0.063, 176.10s)
81: acc=14.72% acc_corr=15.34% avg#q_ae=15.76 med#q=6.0, avg_margin=-1.57 (n_ex=9597, eps=0.063, 177.20s)
82: acc=14.61% acc_corr=15.22% avg#q_ae=15.85 med#q=6.0, avg_margin=-1.58 (n_ex=9597, eps=0.063, 178.31s)
83: acc=14.50% acc_corr=15.11% avg#q_ae=15.95 med#q=6.0, avg_margin=-1.59 (n_ex=9597, eps=0.063, 179.40s)
84: acc=14.34% acc_corr=14.94% avg#q_ae=16.08 med#q=7.0, avg_margin=-1.60 (n_ex=9597, eps=0.063, 180.49s)
85: acc=14.20% acc_corr=14.80% avg#q_ae=16.20 med#q=7.0, avg_margin=-1.61 (n_ex=9597, eps=0.063, 181.58s)
86: acc=14.10% acc_corr=14.69% avg#q_ae=16.29 med#q=7.0, avg_margin=-1.62 (n_ex=9597, eps=0.063, 182.65s)
87: acc=13.90% acc_corr=14.48% avg#q_ae=16.46 med#q=7.0, avg_margin=-1.63 (n_ex=9597, eps=0.063, 183.72s)
88: acc=13.77% acc_corr=14.35% avg#q_ae=16.58 med#q=7.0, avg_margin=-1.63 (n_ex=9597, eps=0.063, 184.77s)
89: acc=13.63% acc_corr=14.20% avg#q_ae=16.70 med#q=7.0, avg_margin=-1.64 (n_ex=9597, eps=0.063, 185.80s)
90: acc=13.44% acc_corr=14.00% avg#q_ae=16.87 med#q=7.0, avg_margin=-1.65 (n_ex=9597, eps=0.063, 186.82s)
91: acc=13.34% acc_corr=13.90% avg#q_ae=16.96 med#q=7.0, avg_margin=-1.66 (n_ex=9597, eps=0.063, 187.84s)
92: acc=13.27% acc_corr=13.83% avg#q_ae=17.03 med#q=7.0, avg_margin=-1.66 (n_ex=9597, eps=0.063, 188.83s)
93: acc=13.17% acc_corr=13.72% avg#q_ae=17.12 med#q=7.0, avg_margin=-1.67 (n_ex=9597, eps=0.063, 189.82s)
94: acc=13.03% acc_corr=13.58% avg#q_ae=17.25 med#q=7.0, avg_margin=-1.68 (n_ex=9597, eps=0.063, 190.80s)
95: acc=12.90% acc_corr=13.44% avg#q_ae=17.38 med#q=7.0, avg_margin=-1.69 (n_ex=9597, eps=0.063, 191.76s)
96: acc=12.76% acc_corr=13.30% avg#q_ae=17.51 med#q=7.0, avg_margin=-1.70 (n_ex=9597, eps=0.063, 192.72s)
97: acc=12.66% acc_corr=13.19% avg#q_ae=17.61 med#q=7.0, avg_margin=-1.70 (n_ex=9597, eps=0.063, 193.65s)
98: acc=12.56% acc_corr=13.09% avg#q_ae=17.70 med#q=7.0, avg_margin=-1.71 (n_ex=9597, eps=0.063, 194.59s)
99: acc=12.42% acc_corr=12.94% avg#q_ae=17.84 med#q=7.0, avg_margin=-1.72 (n_ex=9597, eps=0.063, 195.52s)
100: acc=12.36% acc_corr=12.88% avg#q_ae=17.90 med#q=7.0, avg_margin=-1.72 (n_ex=9597, eps=0.063, 196.44s)
101: acc=12.31% acc_corr=12.83% avg#q_ae=17.95 med#q=7.0, avg_margin=-1.73 (n_ex=9597, eps=0.063, 197.36s)
102: acc=12.24% acc_corr=12.75% avg#q_ae=18.02 med#q=7.0, avg_margin=-1.73 (n_ex=9597, eps=0.063, 198.28s)
103: acc=12.10% acc_corr=12.61% avg#q_ae=18.17 med#q=7.0, avg_margin=-1.74 (n_ex=9597, eps=0.063, 199.18s)
104: acc=11.99% acc_corr=12.49% avg#q_ae=18.28 med#q=7.0, avg_margin=-1.75 (n_ex=9597, eps=0.063, 200.09s)
105: acc=11.84% acc_corr=12.34% avg#q_ae=18.44 med#q=7.0, avg_margin=-1.76 (n_ex=9597, eps=0.063, 200.97s)
106: acc=11.79% acc_corr=12.29% avg#q_ae=18.49 med#q=7.0, avg_margin=-1.76 (n_ex=9597, eps=0.063, 201.85s)
107: acc=11.67% acc_corr=12.16% avg#q_ae=18.62 med#q=7.0, avg_margin=-1.77 (n_ex=9597, eps=0.063, 202.72s)
108: acc=11.60% acc_corr=12.09% avg#q_ae=18.69 med#q=7.0, avg_margin=-1.77 (n_ex=9597, eps=0.063, 203.58s)
109: acc=11.48% acc_corr=11.96% avg#q_ae=18.82 med#q=7.0, avg_margin=-1.78 (n_ex=9597, eps=0.063, 204.44s)
110: acc=11.36% acc_corr=11.84% avg#q_ae=18.95 med#q=7.0, avg_margin=-1.79 (n_ex=9597, eps=0.063, 205.29s)
111: acc=11.31% acc_corr=11.78% avg#q_ae=19.01 med#q=7.0, avg_margin=-1.79 (n_ex=9597, eps=0.063, 206.14s)
112: acc=11.28% acc_corr=11.75% avg#q_ae=19.04 med#q=7.0, avg_margin=-1.80 (n_ex=9597, eps=0.063, 206.99s)
113: acc=11.17% acc_corr=11.64% avg#q_ae=19.16 med#q=7.0, avg_margin=-1.80 (n_ex=9597, eps=0.063, 207.83s)
114: acc=11.05% acc_corr=11.51% avg#q_ae=19.30 med#q=8.0, avg_margin=-1.81 (n_ex=9597, eps=0.063, 208.66s)
115: acc=10.97% acc_corr=11.43% avg#q_ae=19.39 med#q=8.0, avg_margin=-1.82 (n_ex=9597, eps=0.063, 209.49s)
116: acc=10.89% acc_corr=11.35% avg#q_ae=19.48 med#q=8.0, avg_margin=-1.82 (n_ex=9597, eps=0.063, 210.30s)
117: acc=10.83% acc_corr=11.28% avg#q_ae=19.55 med#q=8.0, avg_margin=-1.82 (n_ex=9597, eps=0.063, 211.13s)
118: acc=10.73% acc_corr=11.18% avg#q_ae=19.67 med#q=8.0, avg_margin=-1.83 (n_ex=9597, eps=0.063, 211.94s)
119: acc=10.68% acc_corr=11.13% avg#q_ae=19.73 med#q=8.0, avg_margin=-1.84 (n_ex=9597, eps=0.063, 212.73s)
120: acc=10.60% acc_corr=11.05% avg#q_ae=19.82 med#q=8.0, avg_margin=-1.84 (n_ex=9597, eps=0.063, 213.52s)
121: acc=10.50% acc_corr=10.94% avg#q_ae=19.94 med#q=8.0, avg_margin=-1.84 (n_ex=9597, eps=0.063, 214.30s)
122: acc=10.42% acc_corr=10.86% avg#q_ae=20.04 med#q=8.0, avg_margin=-1.85 (n_ex=9597, eps=0.063, 215.07s)
123: acc=10.36% acc_corr=10.80% avg#q_ae=20.11 med#q=8.0, avg_margin=-1.85 (n_ex=9597, eps=0.063, 215.86s)
124: acc=10.31% acc_corr=10.74% avg#q_ae=20.17 med#q=8.0, avg_margin=-1.86 (n_ex=9597, eps=0.063, 216.65s)
125: acc=10.27% acc_corr=10.70% avg#q_ae=20.22 med#q=8.0, avg_margin=-1.86 (n_ex=9597, eps=0.063, 217.42s)
126: acc=10.14% acc_corr=10.57% avg#q_ae=20.38 med#q=8.0, avg_margin=-1.87 (n_ex=9597, eps=0.063, 218.19s)
127: acc=10.09% acc_corr=10.51% avg#q_ae=20.45 med#q=8.0, avg_margin=-1.87 (n_ex=9597, eps=0.063, 218.94s)
128: acc=10.00% acc_corr=10.42% avg#q_ae=20.56 med#q=8.0, avg_margin=-1.88 (n_ex=9597, eps=0.063, 219.69s)
129: acc=9.92% acc_corr=10.34% avg#q_ae=20.66 med#q=8.0, avg_margin=-1.88 (n_ex=9597, eps=0.063, 220.43s)
130: acc=9.80% acc_corr=10.21% avg#q_ae=20.81 med#q=8.0, avg_margin=-1.89 (n_ex=9597, eps=0.063, 221.15s)
131: acc=9.78% acc_corr=10.19% avg#q_ae=20.84 med#q=8.0, avg_margin=-1.89 (n_ex=9597, eps=0.063, 221.87s)
132: acc=9.74% acc_corr=10.15% avg#q_ae=20.89 med#q=8.0, avg_margin=-1.90 (n_ex=9597, eps=0.063, 222.59s)
133: acc=9.69% acc_corr=10.10% avg#q_ae=20.96 med#q=8.0, avg_margin=-1.90 (n_ex=9597, eps=0.063, 223.31s)
134: acc=9.61% acc_corr=10.01% avg#q_ae=21.06 med#q=8.0, avg_margin=-1.91 (n_ex=9597, eps=0.063, 224.02s)
135: acc=9.54% acc_corr=9.94% avg#q_ae=21.16 med#q=8.0, avg_margin=-1.91 (n_ex=9597, eps=0.063, 224.73s)
136: acc=9.46% acc_corr=9.86% avg#q_ae=21.26 med#q=8.0, avg_margin=-1.91 (n_ex=9597, eps=0.063, 225.46s)
137: acc=9.38% acc_corr=9.77% avg#q_ae=21.37 med#q=8.0, avg_margin=-1.92 (n_ex=9597, eps=0.063, 226.20s)
138: acc=9.34% acc_corr=9.73% avg#q_ae=21.43 med#q=8.0, avg_margin=-1.92 (n_ex=9597, eps=0.063, 226.90s)
139: acc=9.32% acc_corr=9.71% avg#q_ae=21.45 med#q=8.0, avg_margin=-1.93 (n_ex=9597, eps=0.063, 227.60s)
140: acc=9.27% acc_corr=9.66% avg#q_ae=21.52 med#q=8.0, avg_margin=-1.93 (n_ex=9597, eps=0.063, 228.29s)
141: acc=9.23% acc_corr=9.62% avg#q_ae=21.58 med#q=8.0, avg_margin=-1.93 (n_ex=9597, eps=0.063, 228.99s)
142: acc=9.18% acc_corr=9.57% avg#q_ae=21.65 med#q=8.0, avg_margin=-1.94 (n_ex=9597, eps=0.063, 229.67s)
143: acc=9.13% acc_corr=9.51% avg#q_ae=21.72 med#q=8.0, avg_margin=-1.94 (n_ex=9597, eps=0.063, 230.36s)
144: acc=9.09% acc_corr=9.47% avg#q_ae=21.78 med#q=8.0, avg_margin=-1.94 (n_ex=9597, eps=0.063, 231.04s)
145: acc=9.08% acc_corr=9.46% avg#q_ae=21.79 med#q=8.0, avg_margin=-1.95 (n_ex=9597, eps=0.063, 231.72s)
146: acc=9.01% acc_corr=9.39% avg#q_ae=21.89 med#q=8.0, avg_margin=-1.95 (n_ex=9597, eps=0.063, 232.40s)
147: acc=8.97% acc_corr=9.35% avg#q_ae=21.95 med#q=8.0, avg_margin=-1.96 (n_ex=9597, eps=0.063, 233.07s)
148: acc=8.89% acc_corr=9.26% avg#q_ae=22.06 med#q=8.0, avg_margin=-1.96 (n_ex=9597, eps=0.063, 233.74s)
149: acc=8.86% acc_corr=9.23% avg#q_ae=22.11 med#q=8.0, avg_margin=-1.96 (n_ex=9597, eps=0.063, 234.39s)
150: acc=8.74% acc_corr=9.11% avg#q_ae=22.29 med#q=8.0, avg_margin=-1.97 (n_ex=9597, eps=0.063, 235.08s)
151: acc=8.68% acc_corr=9.04% avg#q_ae=22.38 med#q=8.0, avg_margin=-1.97 (n_ex=9597, eps=0.063, 235.75s)
152: acc=8.58% acc_corr=8.94% avg#q_ae=22.52 med#q=8.0, avg_margin=-1.98 (n_ex=9597, eps=0.063, 236.39s)
153: acc=8.49% acc_corr=8.85% avg#q_ae=22.66 med#q=8.0, avg_margin=-1.98 (n_ex=9597, eps=0.063, 237.12s)
154: acc=8.44% acc_corr=8.79% avg#q_ae=22.74 med#q=8.0, avg_margin=-1.98 (n_ex=9597, eps=0.063, 237.77s)
155: acc=8.36% acc_corr=8.71% avg#q_ae=22.86 med#q=8.0, avg_margin=-1.99 (n_ex=9597, eps=0.063, 238.43s)
156: acc=8.28% acc_corr=8.63% avg#q_ae=22.98 med#q=8.0, avg_margin=-1.99 (n_ex=9597, eps=0.063, 239.06s)
157: acc=8.20% acc_corr=8.54% avg#q_ae=23.10 med#q=8.0, avg_margin=-2.00 (n_ex=9597, eps=0.063, 239.68s)
158: acc=8.11% acc_corr=8.45% avg#q_ae=23.24 med#q=8.0, avg_margin=-2.00 (n_ex=9597, eps=0.063, 240.29s)
159: acc=8.07% acc_corr=8.41% avg#q_ae=23.30 med#q=8.0, avg_margin=-2.00 (n_ex=9597, eps=0.063, 240.90s)
160: acc=7.99% acc_corr=8.33% avg#q_ae=23.43 med#q=8.0, avg_margin=-2.00 (n_ex=9597, eps=0.063, 241.50s)
161: acc=7.91% acc_corr=8.24% avg#q_ae=23.56 med#q=8.0, avg_margin=-2.01 (n_ex=9597, eps=0.063, 242.09s)
162: acc=7.84% acc_corr=8.17% avg#q_ae=23.67 med#q=9.0, avg_margin=-2.01 (n_ex=9597, eps=0.063, 242.67s)
163: acc=7.79% acc_corr=8.12% avg#q_ae=23.75 med#q=9.0, avg_margin=-2.01 (n_ex=9597, eps=0.063, 243.25s)
164: acc=7.73% acc_corr=8.05% avg#q_ae=23.84 med#q=9.0, avg_margin=-2.02 (n_ex=9597, eps=0.063, 243.82s)
165: acc=7.69% acc_corr=8.01% avg#q_ae=23.91 med#q=9.0, avg_margin=-2.02 (n_ex=9597, eps=0.063, 244.38s)
166: acc=7.62% acc_corr=7.94% avg#q_ae=24.02 med#q=9.0, avg_margin=-2.02 (n_ex=9597, eps=0.063, 244.95s)
167: acc=7.58% acc_corr=7.90% avg#q_ae=24.08 med#q=9.0, avg_margin=-2.02 (n_ex=9597, eps=0.063, 245.51s)
168: acc=7.50% acc_corr=7.81% avg#q_ae=24.22 med#q=9.0, avg_margin=-2.03 (n_ex=9597, eps=0.063, 246.07s)
169: acc=7.43% acc_corr=7.74% avg#q_ae=24.33 med#q=9.0, avg_margin=-2.03 (n_ex=9597, eps=0.063, 246.62s)
170: acc=7.38% acc_corr=7.69% avg#q_ae=24.41 med#q=9.0, avg_margin=-2.03 (n_ex=9597, eps=0.063, 247.18s)
171: acc=7.33% acc_corr=7.64% avg#q_ae=24.50 med#q=9.0, avg_margin=-2.04 (n_ex=9597, eps=0.063, 247.73s)
172: acc=7.25% acc_corr=7.55% avg#q_ae=24.63 med#q=9.0, avg_margin=-2.04 (n_ex=9597, eps=0.063, 248.28s)
173: acc=7.20% acc_corr=7.50% avg#q_ae=24.72 med#q=9.0, avg_margin=-2.04 (n_ex=9597, eps=0.063, 248.83s)
174: acc=7.16% acc_corr=7.46% avg#q_ae=24.78 med#q=9.0, avg_margin=-2.04 (n_ex=9597, eps=0.063, 249.37s)
175: acc=7.13% acc_corr=7.43% avg#q_ae=24.83 med#q=9.0, avg_margin=-2.05 (n_ex=9597, eps=0.063, 249.90s)
176: acc=7.06% acc_corr=7.36% avg#q_ae=24.95 med#q=9.0, avg_margin=-2.05 (n_ex=9597, eps=0.063, 250.43s)
177: acc=7.04% acc_corr=7.34% avg#q_ae=24.99 med#q=9.0, avg_margin=-2.05 (n_ex=9597, eps=0.063, 250.96s)
178: acc=6.99% acc_corr=7.28% avg#q_ae=25.07 med#q=9.0, avg_margin=-2.06 (n_ex=9597, eps=0.063, 251.50s)
179: acc=6.94% acc_corr=7.23% avg#q_ae=25.16 med#q=9.0, avg_margin=-2.06 (n_ex=9597, eps=0.063, 252.04s)
180: acc=6.92% acc_corr=7.21% avg#q_ae=25.20 med#q=9.0, avg_margin=-2.06 (n_ex=9597, eps=0.063, 252.56s)
181: acc=6.86% acc_corr=7.15% avg#q_ae=25.30 med#q=9.0, avg_margin=-2.06 (n_ex=9597, eps=0.063, 253.07s)
182: acc=6.82% acc_corr=7.11% avg#q_ae=25.37 med#q=9.0, avg_margin=-2.06 (n_ex=9597, eps=0.063, 253.58s)
183: acc=6.77% acc_corr=7.05% avg#q_ae=25.46 med#q=9.0, avg_margin=-2.07 (n_ex=9597, eps=0.063, 254.09s)
184: acc=6.74% acc_corr=7.02% avg#q_ae=25.52 med#q=9.0, avg_margin=-2.07 (n_ex=9597, eps=0.063, 254.58s)
185: acc=6.69% acc_corr=6.97% avg#q_ae=25.61 med#q=9.0, avg_margin=-2.07 (n_ex=9597, eps=0.063, 255.08s)
186: acc=6.65% acc_corr=6.93% avg#q_ae=25.68 med#q=9.0, avg_margin=-2.07 (n_ex=9597, eps=0.063, 255.56s)
187: acc=6.57% acc_corr=6.85% avg#q_ae=25.82 med#q=9.0, avg_margin=-2.08 (n_ex=9597, eps=0.063, 256.06s)
188: acc=6.57% acc_corr=6.85% avg#q_ae=25.82 med#q=9.0, avg_margin=-2.08 (n_ex=9597, eps=0.063, 256.55s)
