

All hps: 2021-03-10 15:41:14 model=wrn-28-10-drop dataset=cifar10 attack=square_l2 n_ex=10000 eps=1020.0 p=0.05 n_iter=10000
Clean accuracy: 95.97%
Initial square side=6 for bumps
2021-03-10_15-41-33_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1__Eps1020
1: acc=65.36% acc_corr=68.10% avg#q_ae=2.12 med#q=2.0, avg_margin=3.21, buff=19194, (n_ex=9597, eps=1020.000, 4.87s)
12: acc=42.48% acc_corr=44.26% avg#q_ae=4.89 med#q=10.0, avg_margin=0.85, buff=19194, (n_ex=9597, eps=1020.000, 60.30s)
13: acc=40.80% acc_corr=42.51% avg#q_ae=5.19 med#q=10.0, avg_margin=0.71, buff=19194, (n_ex=9597, eps=1020.000, 65.04s)
14: acc=39.27% acc_corr=40.92% avg#q_ae=5.49 med#q=10.0, avg_margin=0.57, buff=19194, (n_ex=9597, eps=1020.000, 71.05s)
15: acc=38.24% acc_corr=39.85% avg#q_ae=5.69 med#q=10.0, avg_margin=0.49, buff=19194, (n_ex=9597, eps=1020.000, 77.19s)
16: acc=37.42% acc_corr=38.99% avg#q_ae=5.86 med#q=10.0, avg_margin=0.42, buff=19194, (n_ex=9597, eps=1020.000, 83.18s)
17: acc=36.04% acc_corr=37.55% avg#q_ae=6.17 med#q=10.0, avg_margin=0.32, buff=19194, (n_ex=9597, eps=1020.000, 89.47s)
18: acc=35.13% acc_corr=36.61% avg#q_ae=6.37 med#q=10.0, avg_margin=0.25, buff=19194, (n_ex=9597, eps=1020.000, 95.14s)
19: acc=34.16% acc_corr=35.59% avg#q_ae=6.60 med#q=10.0, avg_margin=0.17, buff=19194, (n_ex=9597, eps=1020.000, 100.68s)
20: acc=33.55% acc_corr=34.96% avg#q_ae=6.75 med#q=10.0, avg_margin=0.13, buff=19194, (n_ex=9597, eps=1020.000, 106.44s)
21: acc=32.71% acc_corr=34.08% avg#q_ae=6.97 med#q=10.0, avg_margin=0.07, buff=19194, (n_ex=9597, eps=1020.000, 111.82s)
22: acc=31.90% acc_corr=33.24% avg#q_ae=7.18 med#q=10.0, avg_margin=0.02, buff=19194, (n_ex=9597, eps=1020.000, 116.88s)
23: acc=31.04% acc_corr=32.34% avg#q_ae=7.42 med#q=10.0, avg_margin=-0.04, buff=19194, (n_ex=9597, eps=1020.000, 122.08s)
24: acc=30.44% acc_corr=31.72% avg#q_ae=7.59 med#q=10.0, avg_margin=-0.08, buff=19194, (n_ex=9597, eps=1020.000, 127.36s)
25: acc=29.11% acc_corr=30.33% avg#q_ae=7.98 med#q=10.0, avg_margin=-0.19, buff=19194, (n_ex=9597, eps=1020.000, 132.20s)
26: acc=28.09% acc_corr=29.27% avg#q_ae=8.28 med#q=10.0, avg_margin=-0.27, buff=19194, (n_ex=9597, eps=1020.000, 136.72s)
27: acc=26.84% acc_corr=27.97% avg#q_ae=8.65 med#q=10.0, avg_margin=-0.36, buff=19194, (n_ex=9597, eps=1020.000, 141.39s)
28: acc=26.15% acc_corr=27.25% avg#q_ae=8.86 med#q=10.0, avg_margin=-0.41, buff=19194, (n_ex=9597, eps=1020.000, 146.06s)
29: acc=25.51% acc_corr=26.58% avg#q_ae=9.06 med#q=10.0, avg_margin=-0.45, buff=19194, (n_ex=9597, eps=1020.000, 150.20s)
30: acc=24.68% acc_corr=25.72% avg#q_ae=9.33 med#q=10.0, avg_margin=-0.50, buff=19194, (n_ex=9597, eps=1020.000, 154.28s)
31: acc=24.31% acc_corr=25.33% avg#q_ae=9.45 med#q=10.0, avg_margin=-0.52, buff=19194, (n_ex=9597, eps=1020.000, 158.42s)
32: acc=23.60% acc_corr=24.59% avg#q_ae=9.69 med#q=10.0, avg_margin=-0.58, buff=19194, (n_ex=9597, eps=1020.000, 162.27s)
33: acc=23.09% acc_corr=24.06% avg#q_ae=9.87 med#q=10.0, avg_margin=-0.61, buff=19194, (n_ex=9597, eps=1020.000, 165.94s)
34: acc=22.48% acc_corr=23.42% avg#q_ae=10.09 med#q=10.0, avg_margin=-0.66, buff=19194, (n_ex=9597, eps=1020.000, 169.89s)
35: acc=21.98% acc_corr=22.90% avg#q_ae=10.27 med#q=10.0, avg_margin=-0.69, buff=19194, (n_ex=9597, eps=1020.000, 173.61s)
36: acc=21.55% acc_corr=22.45% avg#q_ae=10.43 med#q=10.0, avg_margin=-0.72, buff=19194, (n_ex=9597, eps=1020.000, 177.03s)
37: acc=21.29% acc_corr=22.18% avg#q_ae=10.53 med#q=10.0, avg_margin=-0.74, buff=19194, (n_ex=9597, eps=1020.000, 180.59s)
38: acc=20.69% acc_corr=21.56% avg#q_ae=10.76 med#q=10.0, avg_margin=-0.78, buff=19194, (n_ex=9597, eps=1020.000, 184.24s)
39: acc=20.38% acc_corr=21.24% avg#q_ae=10.89 med#q=10.0, avg_margin=-0.81, buff=19194, (n_ex=9597, eps=1020.000, 187.47s)
40: acc=20.05% acc_corr=20.89% avg#q_ae=11.02 med#q=10.0, avg_margin=-0.83, buff=19194, (n_ex=9597, eps=1020.000, 190.71s)
41: acc=19.63% acc_corr=20.45% avg#q_ae=11.20 med#q=10.0, avg_margin=-0.86, buff=19194, (n_ex=9597, eps=1020.000, 194.11s)
42: acc=18.76% acc_corr=19.55% avg#q_ae=11.57 med#q=10.0, avg_margin=-0.91, buff=19194, (n_ex=9597, eps=1020.000, 197.21s)
43: acc=18.22% acc_corr=18.99% avg#q_ae=11.80 med#q=10.0, avg_margin=-0.95, buff=19194, (n_ex=9597, eps=1020.000, 200.13s)
44: acc=17.96% acc_corr=18.71% avg#q_ae=11.92 med#q=10.0, avg_margin=-0.97, buff=19194, (n_ex=9597, eps=1020.000, 203.19s)
45: acc=17.58% acc_corr=18.32% avg#q_ae=12.09 med#q=10.0, avg_margin=-1.00, buff=19194, (n_ex=9597, eps=1020.000, 205.91s)
46: acc=17.25% acc_corr=17.97% avg#q_ae=12.24 med#q=10.0, avg_margin=-1.01, buff=19194, (n_ex=9597, eps=1020.000, 208.62s)
47: acc=17.10% acc_corr=17.82% avg#q_ae=12.31 med#q=10.0, avg_margin=-1.03, buff=19194, (n_ex=9597, eps=1020.000, 211.53s)
48: acc=16.79% acc_corr=17.50% avg#q_ae=12.45 med#q=10.0, avg_margin=-1.05, buff=19194, (n_ex=9597, eps=1020.000, 214.52s)
49: acc=16.37% acc_corr=17.06% avg#q_ae=12.66 med#q=10.0, avg_margin=-1.07, buff=19194, (n_ex=9597, eps=1020.000, 217.11s)
50: acc=16.14% acc_corr=16.82% avg#q_ae=12.77 med#q=10.0, avg_margin=-1.09, buff=19194, (n_ex=9597, eps=1020.000, 219.72s)
51: acc=15.93% acc_corr=16.60% avg#q_ae=12.88 med#q=10.0, avg_margin=-1.11, buff=19194, (n_ex=9597, eps=1020.000, 222.48s)
52: acc=15.71% acc_corr=16.37% avg#q_ae=12.99 med#q=10.0, avg_margin=-1.12, buff=19194, (n_ex=9597, eps=1020.000, 224.95s)
53: acc=15.37% acc_corr=16.02% avg#q_ae=13.17 med#q=10.0, avg_margin=-1.15, buff=19194, (n_ex=9597, eps=1020.000, 227.47s)
54: acc=14.90% acc_corr=15.53% avg#q_ae=13.41 med#q=10.0, avg_margin=-1.17, buff=19194, (n_ex=9597, eps=1020.000, 230.06s)
55: acc=14.67% acc_corr=15.29% avg#q_ae=13.54 med#q=10.0, avg_margin=-1.19, buff=19194, (n_ex=9597, eps=1020.000, 232.64s)
56: acc=14.47% acc_corr=15.08% avg#q_ae=13.65 med#q=10.0, avg_margin=-1.20, buff=19194, (n_ex=9597, eps=1020.000, 234.99s)
57: acc=14.28% acc_corr=14.88% avg#q_ae=13.75 med#q=10.0, avg_margin=-1.22, buff=19194, (n_ex=9597, eps=1020.000, 237.12s)
58: acc=13.99% acc_corr=14.58% avg#q_ae=13.92 med#q=10.0, avg_margin=-1.23, buff=19194, (n_ex=9597, eps=1020.000, 239.51s)
59: acc=13.75% acc_corr=14.33% avg#q_ae=14.05 med#q=10.0, avg_margin=-1.24, buff=19194, (n_ex=9597, eps=1020.000, 241.85s)
60: acc=13.45% acc_corr=14.01% avg#q_ae=14.23 med#q=10.0, avg_margin=-1.26, buff=19194, (n_ex=9597, eps=1020.000, 243.93s)
61: acc=13.29% acc_corr=13.85% avg#q_ae=14.32 med#q=10.0, avg_margin=-1.27, buff=19194, (n_ex=9597, eps=1020.000, 246.06s)
62: acc=13.05% acc_corr=13.60% avg#q_ae=14.47 med#q=10.0, avg_margin=-1.29, buff=19194, (n_ex=9597, eps=1020.000, 248.27s)
63: acc=12.76% acc_corr=13.30% avg#q_ae=14.64 med#q=10.0, avg_margin=-1.30, buff=19194, (n_ex=9597, eps=1020.000, 250.32s)
64: acc=12.61% acc_corr=13.14% avg#q_ae=14.73 med#q=10.0, avg_margin=-1.31, buff=19194, (n_ex=9597, eps=1020.000, 252.25s)
65: acc=12.32% acc_corr=12.84% avg#q_ae=14.92 med#q=10.0, avg_margin=-1.32, buff=19194, (n_ex=9597, eps=1020.000, 254.28s)
66: acc=12.08% acc_corr=12.59% avg#q_ae=15.07 med#q=10.0, avg_margin=-1.34, buff=19194, (n_ex=9597, eps=1020.000, 256.38s)
67: acc=11.96% acc_corr=12.46% avg#q_ae=15.14 med#q=10.0, avg_margin=-1.35, buff=19194, (n_ex=9597, eps=1020.000, 258.24s)
68: acc=11.65% acc_corr=12.14% avg#q_ae=15.35 med#q=10.0, avg_margin=-1.37, buff=19194, (n_ex=9597, eps=1020.000, 260.09s)
69: acc=11.49% acc_corr=11.97% avg#q_ae=15.45 med#q=10.0, avg_margin=-1.38, buff=19194, (n_ex=9597, eps=1020.000, 262.00s)
70: acc=11.38% acc_corr=11.86% avg#q_ae=15.52 med#q=10.0, avg_margin=-1.38, buff=19194, (n_ex=9597, eps=1020.000, 263.79s)
71: acc=11.13% acc_corr=11.60% avg#q_ae=15.69 med#q=10.0, avg_margin=-1.40, buff=19194, (n_ex=9597, eps=1020.000, 265.53s)
72: acc=10.90% acc_corr=11.36% avg#q_ae=15.85 med#q=10.0, avg_margin=-1.41, buff=19194, (n_ex=9597, eps=1020.000, 267.23s)
73: acc=10.61% acc_corr=11.06% avg#q_ae=16.05 med#q=10.0, avg_margin=-1.42, buff=19194, (n_ex=9597, eps=1020.000, 269.06s)
74: acc=10.54% acc_corr=10.98% avg#q_ae=16.10 med#q=10.0, avg_margin=-1.43, buff=19194, (n_ex=9597, eps=1020.000, 270.71s)
75: acc=10.41% acc_corr=10.85% avg#q_ae=16.19 med#q=10.0, avg_margin=-1.44, buff=19194, (n_ex=9597, eps=1020.000, 272.30s)
76: acc=10.26% acc_corr=10.69% avg#q_ae=16.30 med#q=10.0, avg_margin=-1.44, buff=19194, (n_ex=9597, eps=1020.000, 273.95s)
77: acc=10.11% acc_corr=10.53% avg#q_ae=16.41 med#q=10.0, avg_margin=-1.45, buff=19194, (n_ex=9597, eps=1020.000, 275.65s)
78: acc=9.85% acc_corr=10.26% avg#q_ae=16.60 med#q=10.0, avg_margin=-1.46, buff=19194, (n_ex=9597, eps=1020.000, 276.96s)
79: acc=9.69% acc_corr=10.10% avg#q_ae=16.72 med#q=10.0, avg_margin=-1.47, buff=19194, (n_ex=9597, eps=1020.000, 277.93s)
80: acc=9.44% acc_corr=9.84% avg#q_ae=16.91 med#q=10.0, avg_margin=-1.49, buff=19194, (n_ex=9597, eps=1020.000, 279.18s)
81: acc=9.28% acc_corr=9.67% avg#q_ae=17.03 med#q=10.0, avg_margin=-1.50, buff=19194, (n_ex=9597, eps=1020.000, 280.80s)
82: acc=9.13% acc_corr=9.51% avg#q_ae=17.15 med#q=10.0, avg_margin=-1.51, buff=19194, (n_ex=9597, eps=1020.000, 282.26s)
83: acc=8.93% acc_corr=9.30% avg#q_ae=17.31 med#q=10.0, avg_margin=-1.52, buff=19194, (n_ex=9597, eps=1020.000, 283.71s)
84: acc=8.76% acc_corr=9.13% avg#q_ae=17.44 med#q=10.0, avg_margin=-1.53, buff=19194, (n_ex=9597, eps=1020.000, 285.19s)
85: acc=8.57% acc_corr=8.93% avg#q_ae=17.59 med#q=10.0, avg_margin=-1.54, buff=19194, (n_ex=9597, eps=1020.000, 286.62s)
86: acc=8.45% acc_corr=8.80% avg#q_ae=17.69 med#q=10.0, avg_margin=-1.55, buff=19194, (n_ex=9597, eps=1020.000, 287.99s)
87: acc=8.35% acc_corr=8.70% avg#q_ae=17.77 med#q=10.0, avg_margin=-1.55, buff=19194, (n_ex=9597, eps=1020.000, 289.31s)
88: acc=8.23% acc_corr=8.58% avg#q_ae=17.87 med#q=10.0, avg_margin=-1.56, buff=19194, (n_ex=9597, eps=1020.000, 290.73s)
89: acc=8.14% acc_corr=8.48% avg#q_ae=17.94 med#q=10.0, avg_margin=-1.56, buff=19194, (n_ex=9597, eps=1020.000, 292.09s)
90: acc=8.10% acc_corr=8.44% avg#q_ae=17.98 med#q=10.0, avg_margin=-1.57, buff=19194, (n_ex=9597, eps=1020.000, 293.38s)
91: acc=7.85% acc_corr=8.18% avg#q_ae=18.19 med#q=10.0, avg_margin=-1.58, buff=19194, (n_ex=9597, eps=1020.000, 294.71s)
92: acc=7.73% acc_corr=8.05% avg#q_ae=18.29 med#q=10.0, avg_margin=-1.59, buff=19194, (n_ex=9597, eps=1020.000, 296.02s)
93: acc=7.62% acc_corr=7.94% avg#q_ae=18.39 med#q=10.0, avg_margin=-1.59, buff=19194, (n_ex=9597, eps=1020.000, 297.37s)
94: acc=7.57% acc_corr=7.89% avg#q_ae=18.43 med#q=10.0, avg_margin=-1.60, buff=19194, (n_ex=9597, eps=1020.000, 298.58s)
95: acc=7.41% acc_corr=7.72% avg#q_ae=18.57 med#q=10.0, avg_margin=-1.61, buff=19194, (n_ex=9597, eps=1020.000, 299.72s)
96: acc=7.32% acc_corr=7.63% avg#q_ae=18.65 med#q=10.0, avg_margin=-1.62, buff=19194, (n_ex=9597, eps=1020.000, 300.95s)
97: acc=7.26% acc_corr=7.56% avg#q_ae=18.71 med#q=10.0, avg_margin=-1.62, buff=19194, (n_ex=9597, eps=1020.000, 302.20s)
98: acc=7.16% acc_corr=7.46% avg#q_ae=18.80 med#q=10.0, avg_margin=-1.63, buff=19194, (n_ex=9597, eps=1020.000, 303.35s)
99: acc=7.09% acc_corr=7.39% avg#q_ae=18.86 med#q=10.0, avg_margin=-1.63, buff=19194, (n_ex=9597, eps=1020.000, 304.46s)
100: acc=7.01% acc_corr=7.30% avg#q_ae=18.94 med#q=10.0, avg_margin=-1.63, buff=19194, (n_ex=9597, eps=1020.000, 305.67s)
101: acc=6.96% acc_corr=7.25% avg#q_ae=18.99 med#q=10.0, avg_margin=-1.64, buff=19194, (n_ex=9597, eps=1020.000, 306.81s)
102: acc=6.93% acc_corr=7.22% avg#q_ae=19.02 med#q=10.0, avg_margin=-1.64, buff=19194, (n_ex=9597, eps=1020.000, 307.87s)
103: acc=6.85% acc_corr=7.14% avg#q_ae=19.09 med#q=10.0, avg_margin=-1.64, buff=19194, (n_ex=9597, eps=1020.000, 308.94s)
104: acc=6.78% acc_corr=7.06% avg#q_ae=19.16 med#q=10.0, avg_margin=-1.65, buff=19194, (n_ex=9597, eps=1020.000, 310.05s)
105: acc=6.71% acc_corr=6.99% avg#q_ae=19.23 med#q=10.0, avg_margin=-1.65, buff=19194, (n_ex=9597, eps=1020.000, 311.21s)
106: acc=6.62% acc_corr=6.90% avg#q_ae=19.32 med#q=10.0, avg_margin=-1.66, buff=19194, (n_ex=9597, eps=1020.000, 312.32s)
107: acc=6.51% acc_corr=6.78% avg#q_ae=19.43 med#q=10.0, avg_margin=-1.66, buff=19194, (n_ex=9597, eps=1020.000, 313.36s)
108: acc=6.45% acc_corr=6.72% avg#q_ae=19.49 med#q=10.0, avg_margin=-1.66, buff=19194, (n_ex=9597, eps=1020.000, 314.42s)
109: acc=6.42% acc_corr=6.69% avg#q_ae=19.52 med#q=10.0, avg_margin=-1.67, buff=19194, (n_ex=9597, eps=1020.000, 315.46s)
110: acc=6.31% acc_corr=6.57% avg#q_ae=19.63 med#q=10.0, avg_margin=-1.67, buff=19194, (n_ex=9597, eps=1020.000, 316.50s)
111: acc=6.27% acc_corr=6.53% avg#q_ae=19.68 med#q=10.0, avg_margin=-1.68, buff=19194, (n_ex=9597, eps=1020.000, 317.49s)
112: acc=6.19% acc_corr=6.45% avg#q_ae=19.76 med#q=10.0, avg_margin=-1.68, buff=19194, (n_ex=9597, eps=1020.000, 318.54s)
113: acc=6.10% acc_corr=6.36% avg#q_ae=19.86 med#q=10.0, avg_margin=-1.68, buff=19194, (n_ex=9597, eps=1020.000, 319.57s)
114: acc=6.07% acc_corr=6.32% avg#q_ae=19.89 med#q=10.0, avg_margin=-1.69, buff=19194, (n_ex=9597, eps=1020.000, 320.55s)
115: acc=6.02% acc_corr=6.27% avg#q_ae=19.94 med#q=10.0, avg_margin=-1.69, buff=19194, (n_ex=9597, eps=1020.000, 321.51s)
116: acc=5.92% acc_corr=6.17% avg#q_ae=20.05 med#q=10.0, avg_margin=-1.69, buff=19194, (n_ex=9597, eps=1020.000, 322.48s)
117: acc=5.84% acc_corr=6.09% avg#q_ae=20.14 med#q=10.0, avg_margin=-1.70, buff=19194, (n_ex=9597, eps=1020.000, 323.40s)
118: acc=5.82% acc_corr=6.06% avg#q_ae=20.16 med#q=10.0, avg_margin=-1.70, buff=19194, (n_ex=9597, eps=1020.000, 324.32s)
119: acc=5.74% acc_corr=5.98% avg#q_ae=20.25 med#q=10.0, avg_margin=-1.70, buff=19194, (n_ex=9597, eps=1020.000, 325.28s)
120: acc=5.56% acc_corr=5.79% avg#q_ae=20.45 med#q=10.0, avg_margin=-1.71, buff=19194, (n_ex=9597, eps=1020.000, 326.15s)
121: acc=5.49% acc_corr=5.72% avg#q_ae=20.53 med#q=10.0, avg_margin=-1.71, buff=19194, (n_ex=9597, eps=1020.000, 327.04s)
122: acc=5.41% acc_corr=5.64% avg#q_ae=20.62 med#q=10.0, avg_margin=-1.72, buff=19194, (n_ex=9597, eps=1020.000, 327.92s)
123: acc=5.34% acc_corr=5.56% avg#q_ae=20.70 med#q=10.0, avg_margin=-1.72, buff=19194, (n_ex=9597, eps=1020.000, 328.81s)
124: acc=5.31% acc_corr=5.53% avg#q_ae=20.74 med#q=10.0, avg_margin=-1.72, buff=19194, (n_ex=9597, eps=1020.000, 329.69s)
125: acc=5.28% acc_corr=5.50% avg#q_ae=20.77 med#q=10.0, avg_margin=-1.73, buff=19194, (n_ex=9597, eps=1020.000, 330.51s)
126: acc=5.22% acc_corr=5.44% avg#q_ae=20.84 med#q=10.0, avg_margin=-1.73, buff=19194, (n_ex=9597, eps=1020.000, 331.28s)
127: acc=5.17% acc_corr=5.39% avg#q_ae=20.90 med#q=10.0, avg_margin=-1.73, buff=19194, (n_ex=9597, eps=1020.000, 332.13s)
128: acc=4.99% acc_corr=5.20% avg#q_ae=21.12 med#q=10.0, avg_margin=-1.74, buff=19194, (n_ex=9597, eps=1020.000, 332.99s)
129: acc=4.94% acc_corr=5.15% avg#q_ae=21.18 med#q=10.0, avg_margin=-1.74, buff=19194, (n_ex=9597, eps=1020.000, 333.81s)
130: acc=4.82% acc_corr=5.02% avg#q_ae=21.33 med#q=10.0, avg_margin=-1.75, buff=19194, (n_ex=9597, eps=1020.000, 334.62s)
131: acc=4.76% acc_corr=4.96% avg#q_ae=21.40 med#q=10.0, avg_margin=-1.75, buff=19194, (n_ex=9597, eps=1020.000, 335.43s)
132: acc=4.71% acc_corr=4.91% avg#q_ae=21.46 med#q=10.0, avg_margin=-1.75, buff=19194, (n_ex=9597, eps=1020.000, 336.22s)
133: acc=4.61% acc_corr=4.80% avg#q_ae=21.59 med#q=10.0, avg_margin=-1.76, buff=19194, (n_ex=9597, eps=1020.000, 337.02s)
134: acc=4.56% acc_corr=4.75% avg#q_ae=21.65 med#q=10.0, avg_margin=-1.76, buff=19194, (n_ex=9597, eps=1020.000, 337.79s)
135: acc=4.50% acc_corr=4.69% avg#q_ae=21.72 med#q=10.0, avg_margin=-1.76, buff=19194, (n_ex=9597, eps=1020.000, 338.53s)
136: acc=4.46% acc_corr=4.65% avg#q_ae=21.77 med#q=10.0, avg_margin=-1.76, buff=19194, (n_ex=9597, eps=1020.000, 339.26s)
137: acc=4.44% acc_corr=4.63% avg#q_ae=21.80 med#q=10.0, avg_margin=-1.76, buff=19194, (n_ex=9597, eps=1020.000, 339.97s)
138: acc=4.39% acc_corr=4.57% avg#q_ae=21.86 med#q=10.0, avg_margin=-1.77, buff=19194, (n_ex=9597, eps=1020.000, 340.52s)
139: acc=4.33% acc_corr=4.51% avg#q_ae=21.94 med#q=10.0, avg_margin=-1.77, buff=19194, (n_ex=9597, eps=1020.000, 341.05s)
140: acc=4.30% acc_corr=4.48% avg#q_ae=21.98 med#q=10.0, avg_margin=-1.77, buff=19194, (n_ex=9597, eps=1020.000, 341.61s)
141: acc=4.23% acc_corr=4.41% avg#q_ae=22.07 med#q=10.0, avg_margin=-1.77, buff=19194, (n_ex=9597, eps=1020.000, 342.25s)
142: acc=4.20% acc_corr=4.38% avg#q_ae=22.11 med#q=10.0, avg_margin=-1.78, buff=19194, (n_ex=9597, eps=1020.000, 342.94s)
143: acc=4.18% acc_corr=4.36% avg#q_ae=22.14 med#q=10.0, avg_margin=-1.78, buff=19194, (n_ex=9597, eps=1020.000, 343.64s)
144: acc=4.12% acc_corr=4.29% avg#q_ae=22.22 med#q=10.0, avg_margin=-1.78, buff=19194, (n_ex=9597, eps=1020.000, 344.33s)
145: acc=4.09% acc_corr=4.26% avg#q_ae=22.26 med#q=10.0, avg_margin=-1.78, buff=19194, (n_ex=9597, eps=1020.000, 345.00s)
146: acc=4.04% acc_corr=4.21% avg#q_ae=22.33 med#q=10.0, avg_margin=-1.78, buff=19194, (n_ex=9597, eps=1020.000, 345.67s)
147: acc=4.01% acc_corr=4.18% avg#q_ae=22.37 med#q=10.0, avg_margin=-1.79, buff=19194, (n_ex=9597, eps=1020.000, 346.33s)
148: acc=3.98% acc_corr=4.15% avg#q_ae=22.41 med#q=10.0, avg_margin=-1.79, buff=19194, (n_ex=9597, eps=1020.000, 347.00s)
149: acc=3.96% acc_corr=4.13% avg#q_ae=22.44 med#q=10.0, avg_margin=-1.79, buff=19194, (n_ex=9597, eps=1020.000, 347.62s)
150: acc=3.90% acc_corr=4.06% avg#q_ae=22.53 med#q=10.0, avg_margin=-1.79, buff=19194, (n_ex=9597, eps=1020.000, 348.20s)
151: acc=3.88% acc_corr=4.04% avg#q_ae=22.55 med#q=10.0, avg_margin=-1.79, buff=19194, (n_ex=9597, eps=1020.000, 348.81s)
152: acc=3.83% acc_corr=3.99% avg#q_ae=22.63 med#q=10.0, avg_margin=-1.79, buff=19194, (n_ex=9597, eps=1020.000, 349.43s)
153: acc=3.80% acc_corr=3.96% avg#q_ae=22.67 med#q=10.0, avg_margin=-1.80, buff=19194, (n_ex=9597, eps=1020.000, 350.04s)
154: acc=3.79% acc_corr=3.95% avg#q_ae=22.68 med#q=10.0, avg_margin=-1.80, buff=19194, (n_ex=9597, eps=1020.000, 350.64s)
155: acc=3.73% acc_corr=3.89% avg#q_ae=22.77 med#q=10.0, avg_margin=-1.80, buff=19194, (n_ex=9597, eps=1020.000, 351.21s)
156: acc=3.72% acc_corr=3.88% avg#q_ae=22.79 med#q=10.0, avg_margin=-1.80, buff=19194, (n_ex=9597, eps=1020.000, 351.78s)
157: acc=3.60% acc_corr=3.75% avg#q_ae=22.96 med#q=10.0, avg_margin=-1.80, buff=19194, (n_ex=9597, eps=1020.000, 352.36s)
158: acc=3.58% acc_corr=3.73% avg#q_ae=22.99 med#q=10.0, avg_margin=-1.80, buff=19194, (n_ex=9597, eps=1020.000, 352.92s)
159: acc=3.54% acc_corr=3.69% avg#q_ae=23.05 med#q=10.0, avg_margin=-1.81, buff=19194, (n_ex=9597, eps=1020.000, 353.48s)
160: acc=3.50% acc_corr=3.65% avg#q_ae=23.11 med#q=10.0, avg_margin=-1.81, buff=19194, (n_ex=9597, eps=1020.000, 354.04s)
161: acc=3.48% acc_corr=3.63% avg#q_ae=23.14 med#q=10.0, avg_margin=-1.81, buff=19194, (n_ex=9597, eps=1020.000, 354.59s)
162: acc=3.47% acc_corr=3.62% avg#q_ae=23.16 med#q=10.0, avg_margin=-1.81, buff=19194, (n_ex=9597, eps=1020.000, 355.16s)
163: acc=3.43% acc_corr=3.57% avg#q_ae=23.22 med#q=10.0, avg_margin=-1.81, buff=19194, (n_ex=9597, eps=1020.000, 355.76s)
164: acc=3.39% acc_corr=3.53% avg#q_ae=23.28 med#q=10.0, avg_margin=-1.82, buff=19194, (n_ex=9597, eps=1020.000, 356.32s)
165: acc=3.36% acc_corr=3.50% avg#q_ae=23.33 med#q=10.0, avg_margin=-1.82, buff=19194, (n_ex=9597, eps=1020.000, 356.89s)
166: acc=3.35% acc_corr=3.49% avg#q_ae=23.34 med#q=10.0, avg_margin=-1.82, buff=19194, (n_ex=9597, eps=1020.000, 357.44s)
167: acc=3.34% acc_corr=3.48% avg#q_ae=23.36 med#q=10.0, avg_margin=-1.82, buff=19194, (n_ex=9597, eps=1020.000, 358.00s)
168: acc=3.27% acc_corr=3.41% avg#q_ae=23.47 med#q=10.0, avg_margin=-1.82, buff=19194, (n_ex=9597, eps=1020.000, 358.55s)
169: acc=3.24% acc_corr=3.38% avg#q_ae=23.52 med#q=10.0, avg_margin=-1.82, buff=19194, (n_ex=9597, eps=1020.000, 359.07s)
170: acc=3.21% acc_corr=3.34% avg#q_ae=23.56 med#q=10.0, avg_margin=-1.82, buff=19194, (n_ex=9597, eps=1020.000, 359.58s)
